cok
tempik
dancok
jancok
asu
raimu
bajingan
anjing
haram
kontol
rai
sex
pukimai
bangsat
memek
meki
haram
babi
peli
peju
pejuh
jembut
jembot
fuck
mbut
celeh
asem
kntl
peler
peli
